UTC_Timestamp,x_ecef,y_ecef,z_ecef,x_eci,y_eci,z_eci,longitude,latitude,altitude,vx_eci,vy_eci,vz_eci,hora,minuto,segundo,dia,mes,year,ADM_status,EPS_status,HEATER_status,ADCS_status,PAYLOAD_status,ADM_resetS,EPS_resetS,ADCS_resetS,ADCS_resetH,COMMS_resetH,CDHS_reset,EPS_temperature,state_charge,battery_voltage,average_current,remaining_capacity,average_power,state_health,CH1_voltage,CH1_current,CH2_voltage,CH2_current,CH3_voltage,CH3_current,ADCS_current,COMMS_current,PAYLOAD_current,HEATER_current,fault_flags,communication_flags,transmission_flags_EPS,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6,ADC2_CH1,ADC2_CH2,ADC2_CH3,ADC2_CH4,ADC2_CH5,ADC2_CH6,BNO055_temperature,ADCS_temperature1,transmission_flags_ADCS,package_counter,camera_mode,picture_counter,CDHS_CYCLE_TIME,CDHS_WDT,ADM_SOC_LIMIT,ADCS_SOC_LIMIT,COMMS_SOC_LIMIT,PLD_SOC_LIMIT,HEATER_CYCLE_TIME,HEATER_EMON_TIME,HEATER_EMOFF_TIME,ADM_CYCLE_TIME,ADM_BURN_TIME,ADM_MAX_CYCLES,ADM_WAIT_TIME1,ADM_WAIT_TIME2,ADM_ENABLE,COMMS_CYCLE_TIME,PLD_CYCLE_TIME,PLD_OP_MODE,CAM_RESOLUTION,CAM_EXPOSURE,CAM_SAVE_TIME,PLD_ENABLE
01:47:14 - 17/11/2020,-94385.97795362443,-5140337.5457023755,4422844.004644378,5100.915189482259,-708.7454603062325,4412.694426486882,-91.05193685920557,40.88331464192595,412.83517951427774,-1.9748664738941153,6.614870787071077,3.3387785624101936,10,44,38,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-1.1765,0.3922,14.5098,-62.3468,44.2161,113.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,13,15,562,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:47:34 - 17/11/2020,24818.260667029903,-5083897.418087232,4488403.358954017,5060.119751229698,-576.2783344750486,4478.335068434649,-89.72029917632628,41.619247539548994,413.023585262442,-2.1044775364584534,6.631280171081984,3.2250215160800906,10,44,58,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-3.5294,-0.3922,14.5098,-58.1018,43.0655,113.2601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,13,15,564,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:47:44 - 17/11/2020,84481.86894607182,-5054837.241496622,4520323.671757032,5038.752450282859,-509.9303622961549,4510.297950564689,-89.04250054143289,41.980557348109485,413.1168670929214,-2.168939688408937,6.638203305167923,3.167521391639324,10,45,8,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-4.3137,-1.1765,13.7255,-52.7459,45.2476,113.8705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,15,565,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:48:04 - 17/11/2020,203898.70828271814,-4995055.2333698245,4582425.484582375,4994.092172299345,-377.04754039419447,4572.488739588314,-87.66247767652376,42.689334109268714,413.3013128940724,-2.296917866726776,6.649501735065168,3.051300827341253,10,45,28,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-4.3137,-3.5294,13.7255,-52.3888,52.3888,115.3201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,12,15,567,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:48:24 - 17/11/2020,323389.50782372546,-4933083.614028121,4642182.45340915,4946.883713644637,-243.97234905021992,4632.339757795102,-86.24932778516757,43.378921718806176,413.4825726805888,-2.423705769701314,6.657443747018538,2.9335548865484706,10,45,48,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-3.5294,-5.8824,13.7255,-56.9512,56.2768,114.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,12,15,569,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:48:34 - 17/11/2020,383145.53727726423,-4901286.6524724495,4671171.999914953,4922.331476815994,-177.38394918260502,4661.378216535543,-85.53013932020633,43.7162389392266,413.57187442154435,-2.4866724437196432,6.660125582441813,2.874109895995092,10,45,58,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-2.7451,-6.6667,13.7255,-60.5615,60.5615,116.6171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,12,15,570,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:49:14 - 17/11/2020,622082.9538904442,-4768785.7881055875,4781119.284453268,4817.876429482372,89.11138676435417,4771.53358095188,-82.56779559001879,45.012977025198936,413.9190223383391,-2.735182109240589,6.662400921732511,2.632745313678237,10,46,38,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.9608,-5.8824,13.7255,-74.0902,60.2045,115.5489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,12,15,574,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:49:24 - 17/11/2020,681761.3081149417,-4734353.453532532,4807085.767028599,4790.217941750085,155.72792262248282,4797.55514658827,-81.80556580685956,45.32343622940755,414.00304318383894,-2.796439760968284,6.660795730024421,2.571538520350229,10,46,48,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.7451,-4.3137,13.7255,-70.837,55.9197,114.0993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,15,575,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:49:44 - 17/11/2020,801003.4405888468,-4663950.210050091,4857171.078954112,4733.071735544944,288.893169198919,4847.7542934106195,-80.2548897550768,45.92704130414066,414.16742589980925,-2.9179174841199784,6.6551596265990725,2.4481715940318383,10,47,8,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.5294,-2.7451,14.5098,-71.5511,51.635,114.7097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11,15,577,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:50:24 - 17/11/2020,1038837.0737032085,-4517115.097778591,4949862.985555264,4611.566759570795,554.7134817496891,4940.688200053932,-77.0484329369798,47.061538635082044,414.48025975034386,-3.156280164281818,6.633635276992468,2.1977540179035286,10,47,48,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.3922,0.3922,15.2941,-65.5207,41.9547,110.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11,15,581,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:51:14 - 17/11/2020,1334346.9997181226,-4322648.45469187,5051467.23146259,4446.487059680438,885.3343333186422,5042.621206484152,-72.84520337710887,48.33302707391374,414.8378511516303,-3.445113087152893,6.587728413481627,1.8785105739089496,10,48,38,19,6,0,15,83,150,83,83,0,0,0,0,0,19408,16.85,0,3.6,0.0,0.0,0.0,0,0.0,1.22,3.88,897.48,3.89,1.22,9,879,0,0,0,31,31,-5.098,-1.9608,13.7255,-55.8404,48.3421,112.5734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10,15,586,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
